State	Commodity	plantedAllPurposeAcres	harvestedAcres	cropYield	production	pricePerUnit	productionValueDollars
CALIFORNIA	PEPPERS, CHILE, UTILIZED	0	0		1,020,000 CWT			
CALIFORNIA	PEPPERS, CHILE, PROCESSING	0	0			(D) $ / TON	(D)	
CALIFORNIA	PEPPERS, CHILE, FRESH MARKET	0	0			(D) $ / CWT	(D)	
CALIFORNIA	PLUMS, UTILIZED	0	0		103,020 TONS		122,233,000	
CALIFORNIA	PLUMS	0	13800	7.6 TONS / ACRE	105,000 TONS	1,190 $ / TON		
CALIFORNIA	PLUMS, PROCESSING	0	0		(D) TONS	(D) $ / TON	(D)	
CALIFORNIA	PLUMS, FRESH MARKET	0	0		(D) TONS	(D) $ / TON	(D)	
CALIFORNIA	NECTARINES, UTILIZED	0	0		120,060 TONS		120,508,000	
CALIFORNIA	NECTARINES	0	13600	9 TONS / ACRE	122,500 TONS	1,000 $ / TON		
CALIFORNIA	NECTARINES, PROCESSING	0	0		(D) TONS	(D) $ / TON	(D)	
CALIFORNIA	NECTARINES, FRESH MARKET	0	0		(D) TONS	(D) $ / TON	(D)	
CALIFORNIA	DATES, UTILIZED	0	0		49,000 TONS		113,770,000	
CALIFORNIA	DATES	0	12500	3.94 TONS / ACRE	49,300 TONS	2,320 $ / TON		
CALIFORNIA	DATES, PROCESSING	0	0		(D) TONS	(D) $ / TON	(D)	
CALIFORNIA	DATES, FRESH MARKET	0	0		(D) TONS	(D) $ / TON	(D)	
CALIFORNIA	PRUNES, PROCESSING	0	0		57,030 TONS, DRY BASIS	1,970 $ / TON	112,349,000	
CALIFORNIA	PRUNES, UTILIZED	0	0		57,030 TONS, DRY BASIS		112,349,000	
CALIFORNIA	PRUNES	0	40000	1.43 TONS / ACRE, DRY BASIS	57,200 TONS, DRY BASIS	679 $ / TON, FRESH BASIS		
CALIFORNIA	GRAPEFRUIT	0	8700	540 BOXES / ACRE	70,648,000 $, ON TREE EQUIV	17.85 $ / BOX, PHD EQUIV	83,885,000	
CALIFORNIA	GRAPEFRUIT, UTILIZED	0	0		188,000 TONS			
CALIFORNIA	GRAPEFRUIT, PROCESSING	0	0		40,000 TONS	(D) $ / BOX, PHD EQUIV	(D)	
CALIFORNIA	GRAPEFRUIT, FRESH MARKET	0	0		148,000 TONS	(D) $ / BOX, PHD EQUIV	(D)	
CALIFORNIA	APPLES, UTILIZED	0	0		268,300,000 LB		77,959,000	
CALIFORNIA	APPLES, FRESH MARKET	0	0		94,900,000 LB	0.52 $ / LB	49,348,000	
CALIFORNIA	APPLES, PROCESSING	0	0		173,400,000 LB	330 $ / TON	28,611,000	
CALIFORNIA	APPLES	0	12000	22,600 LB / ACRE	271,000,000 LB	0.291 $ / LB		
CALIFORNIA	COTTON, COTTONSEED	0	0		294,000 TONS	350 $ / TON	76,590,000	
CALIFORNIA	COTTON, PIMA	147000	146000	1,562 LB / ACRE	475,000 480 LB BALES	(D) $ / LB		
CALIFORNIA	COTTON	181000	179500	1,645 LB / ACRE	615,000 480 LB BALES			
CALIFORNIA	COTTON, UPLAND	34000	33500	2,006 LB / ACRE	140,000 480 LB BALES	(D) $ / LB	(D)	
CALIFORNIA	KIWIFRUIT, FRESH MARKET	0	0		39,760 TONS	1,920 $ / TON	76,339,000	
CALIFORNIA	KIWIFRUIT, UTILIZED	0	0		39,760 TONS		76,339,000	
CALIFORNIA	KIWIFRUIT	0	4400	9.1 TONS / ACRE	40,000 TONS	1,920 $ / TON		
CALIFORNIA	PEARS, UTILIZED	0	0		114,090 TONS		67,965,000	
CALIFORNIA	PEARS, FRESH MARKET	0	0		60,840 TONS	746 $ / TON	45,387,000	
CALIFORNIA	PEARS, PROCESSING	0	0		53,250 TONS	424 $ / TON	22,578,000	
CALIFORNIA	PEARS	0	9900	11.6 TONS / ACRE	115,000 TONS	596 $ / TON		
CALIFORNIA	ARTICHOKES	5900	5800	140 CWT / ACRE	812,000 CWT	79 $ / CWT	62,608,000	
CALIFORNIA	ARTICHOKES, FRESH MARKET	0	0			79 $ / CWT	62,608,000	
CALIFORNIA	ARTICHOKES, UTILIZED	0	0		792,500 CWT			
CALIFORNIA	OLIVES, PROCESSING	0	0		66,960 TONS	865 $ / TON	57,909,000	
CALIFORNIA	OLIVES, UTILIZED	0	0		66,960 TONS		57,909,000	
CALIFORNIA	OLIVES	0	36000	1.88 TONS / ACRE	67,700 TONS	865 $ / TON		
CALIFORNIA	CORN, GRAIN	0	60000	187 BU / ACRE	11,220,000 BU	4.75 $ / BU	50,490,000	
CALIFORNIA	CORN, SILAGE	0	375000	27 TONS / ACRE	10,125,000 TONS			
CALIFORNIA	CORN	440000	0					
CALIFORNIA	WHEAT	410000	102000	77 BU / ACRE	7,854,000 BU	6.42 $ / BU	48,123,000	
CALIFORNIA	WHEAT, WINTER	385000	85000	75 BU / ACRE	6,375,000 BU	6.12 $ / BU	36,900,000	
CALIFORNIA	WHEAT, SPRING, DURUM	25000	17000	87 BU / ACRE	1,479,000 BU	6.69 $ / BU	11,223,000	
CALIFORNIA	SQUASH	7100	7000	190 CWT / ACRE	1,330,000 CWT	36.1 $ / CWT	47,926,000	
